item,unit,quantity,unit_price_kntd,total_kntd,public_note
Surlyn film 60um 熱封沙林膜,張,5,3,15,"DSSC 封裝材料"
TiO2 paste 18NR-T 二氧化鈦漿料,100g,1,5,5,"光電極材料"
Pt paste PT-1 鉑漿料,100g,1,3.4,3.4,"對電極材料"
二氧化鈦阻檔層漿料,100g,1,4.6,4.6,"阻擋層材料"
N719 染料,1g,1,7,7,"染料"
EL-HSE 電解液,50ml,5,2.6,13,"電解液"
zibra tube 班馬條 100x3x5mm 0.2 ohm,條,16,0.25,4,"導電連接材料"
FTO glass 導電玻璃 20x20mm TEC15,100片,1,3,3,"透明導電基板"
FTO glass 導電玻璃 60x60mm TEC15,50片,1,3,3,"透明導電基板"
FTO glass 導電玻璃 104x147x1.6mm TEC15,50片,1,6,6,"透明導電基板"
D149 染料,500mg,1,21,21,"染料"
導電銀漿 耐熱500ºC,500g,1,30,30,"導電材料"
染料溶劑,1L,1,5,5,"製程溶劑"
